UT,Ack_text,Funders,Funders_Text,row_id
WOS:000343997200004,"A preliminary version of parts of this paper was presented at the meeting Epistemic Aspects of Many-Valued Logics, held in Prague at the Institute of Philosophy of the Academy of Sciences of the Czech Republic, from the 13th to the 16th of September 2010. I am grateful to the organisers, Timothy Childers, Christian Fermuller, and Ondrej Majer, for having given me a chance to present some of these ideas before an audience that included several philosophers who have thought deeply about vagueness. I am indebted to many participants for questions, discussions, and criticism that have been helpful in improving my initial ideas on the subject matter of this paper. In this connection, I should particularly like to thank Christian Fermuller, Colin Howson, Nicholas J. J. Smith, and Timothy Williamson. Finally, I am indebted to the two reviewers of this paper for suggestions that led to improvements of the presentation.",,,2285
WOS:000343997200005,"Versions of this paper were presented at a seminar at the Institute of Computer Science of the Academy of Sciences of the Czech Republic in Prague on 18 September 2009, at a Philosophy RSSS seminar at the Australian National University on 26 November 2009, at the Prague International Colloquium on Epistemic Aspects of Many-Valued Logic at the Institute of Philosophy of the Academy of Sciences of the Czech Republic on 15 September 2010, at the Metaphysical Indeterminacy Workshop II at the University of Leeds on 9 September 2011, at a joint session of the Australasian Association of Logic annual conference and the Twelfth Asian Logic Conference at Victoria University of Wellington on 15 December 2011, and at the Probability and Vagueness conference at the University of Tokyo on 21 March 2013; thanks to the audiences on those occasions for useful feedback. For helpful correspondence, I am grateful to Jeff Paris and Robbie Williams. Thanks to the two anonymous referees for their comments, and to the Australian Research Council for research support.",,,2286
WOS:000343997200006,I wish to thank Daniel Lehmann for several advices and corrections that helped improving this work. I am also indebted to the anonymous referees for their numerous and helpful remarks and suggestions.,,,2287
WOS:000343997200007,"I am grateful to Nathan Ballantyne, Chris Cowie, Helen Marsh, and the audience at the Edinburgh Epistemology Conference in 2013. This paper was written while I was funded by the Social Sciences and Humanities Research Council of Canada.",,,2288
WOS:000343997200008,We thank two reviewers for their comments on an earlier draft of this paper.,,,2289
WOS:000343997200009,"Special thanks are owed to Darin Harootunian, Daniel Groll, Clare Batty, Michael Bonin, Camila Flowerman, Max Henkel, Annette Martin, David Williams, and the Philosophy Department at the University of Kentucky for helpful discussions on these matters.",,,2290
WOS:000343997200010,"I thank William Bechtel, Philippe Huneman, Daniel Pearlberg, audiences at University of Nebraska - Omaha and the Alabama Philosophical Society, as well as two anonymous referees for helpful comments on prior versions of this paper.",,,2291
WOS:000343997200011,"We wish to thank the audience in the Department of Philosophy at the University of Auckland, and in particular Denis Robinson, as well as the referees of this journal. We are grateful to the Swiss National Science Foundation (Ambizione grant PZ00P1_142536/1) for financial support.",,,2292
WOS:000343997200012,"We are especially grateful to Philip Percival, Jonathan Tallant, and Joshua Knobe for helpful comments. We would also like to thank an anonymous referee.",,,2293
WOS:000343997200013,"I am very grateful to Derk Pereboom both for supplying me with a copy of his “Responses to commentary on my Consciousness and the Prospects of Physicalism by Brie Gertler, Terry Horgan, and Andrew Melnyk” and for helpful correspondence subsequently; to my fellow critics Brie Gertler and Terry Horgan for their remarks when an ancestor of the present paper was presented at the February 2012 meeting of the Central Division of the American Philosophical Association; and to an anonymous referee for provoking valuable improvements in the final draft of the paper.",,,2294
WOS:000343997200014,I would like to thank Hamid Vahid and an anonymous referee of the journal for their helpful comments on an earlier draft of this paper.,,,2295
WOS:000343914200002,"I have presented earlier versions of this paper at a Philosophy and Public Affairs workshop on Autonomy, Collectives, and Responsibility at the University of Amsterdam in February 2012, at the Vienna workshop on Group Agency and Collective Intentionality in May 2012, at the conference Collective Intentionality VIII in Manchester, August 2012, and in the Research Seminar of TINT Finnish Centre of Excellence in the Philosophy of the Social Sciences in Helsinki, May 2013. I am grateful for all the useful comments I have received not only from the audiences of these events, but also from two anonymous referees.",,,2296
WOS:000343914200003,"I am grateful to the participants of the workshop, especially to Christian List and Philip Pettit, for many helpful discussions. For comments on a first draft I am indebted to Herlinde Pauer-Studer, Hans-Bernhard Schmid, and two anonymous referees.",,,2297
WOS:000343914200004,"This paper is based on a talk (offering a review of the relevant conceptual terrain) that I have given on multiple occasions: at a conference on the “Epistemic Life of Groups”, Institute of Philosophy, London, March 2011; at a CSMN Symposium on “Social ontology and collective agency”, University of Oslo, May 2011; at the workshop on “Group Agency and Collective Intentionality”, University of Vienna, May 2012; at the History Lab conference in London, June 2012; at a conference on “Principles in Practice”, University of Cambridge, June 2012; at a conference on “Epistemic groups and collaborative research in science”, Nancy, December 2012; at a seminar in the LSE’s Anthropology Department, May 2013; and at the 2013 ECPR General Conference, Bordeaux, September 2013. I am grateful to the audiences at these events, Paul Egre, Laura Valentini, the editors, and two anonymous reviewers for helpful comments, and to Alexandru Baltag and Andrés Perea for discussion. Furthermore, I am greatly indebted to Philip Pettit, with whom I have had numerous conversations on the present topic in the context of our collaborative work.",,,2298
WOS:000343914200005,"For critical comments on an earlier version of this paper I would like to thank Martin Kusch, David Velleman and the members of the ERC-project “Distortions of Normativity” discussion group, Alexandra Couto, Julian Fink, Christoph Hanisch and Veli Mitova. Research for this paper was funded by the ERC Advanced Research Grant “Distortions of Normativity”.",,,2299
WOS:000343914200006,"I was greatly helped in preparing this paper by the discussion of related themes at a conference in the University of Vienna in May 2012 and I am most grateful to the organizers and participants. I am in the debt of Christian List, who has long been a co-author and interlocutor on related themes. I was greatly assisted in the final stages of preparation by comments from Alex Prescott-Couch and the anonymous referees for Erkenntnis. In developing the line in the third section I was influenced by discussions with Quentin Skinner about Hobbes’s theory of group agency. And in arguing for the thesis defended in the fifth section I learned a lot from exchanges with David Ciepley as well as from his article cited in the text.",,,2300
WOS:000343914200007,0,,,2301
WOS:000343914200008,0,,,2302
WOS:000345006700002,"I would like to thank three anonymous referees as well as John Roberts, the editors of this volume and the audience of the workshop on “Semantics and Pragmatics of Ceteris Paribus Conditions” in Düsseldorf for helpful comments. I would furthermore like to thank the DFG for sponsoring the research group “Causation, Dispositions, Laws and Explanations at the Interface of Philosophy of Science and Metaphysics”, which organized the workshop.",,,2303
WOS:000345006700003,"I want to thank the participants of the Workshop on the Semantics and Pragmatics of cp-clauses, where this paper was first presented, as well as the editors of this journal and two anonymous referees.",,,2304
WOS:000345006700004,0,,,2305
WOS:000345006700005,"I am grateful to Laura Franklin-Hall, Andreas Hüttemann, Marc Lange, Barry Loewer, Edouard Machery, John T. Roberts, Michael Strevens, and Jonathan Schaffer for extremely helpful conversations about the draft of this paper. Thanks to Maria Kronfeldner for, among other fruitful criticisms, drawing my attention to several non-trivial hidden premises in the debate on cp-laws, of which I was unaware at the time. Thanks for the indispensable intellectual and moral support of the Bürogemeinschaft in Cologne: Siegfried Jaag and Markus Schrenk. I am also indebted to audiences in Cologne, Düsseldorf, and Pittsburgh, and to two anonymous referees. Especially, I would like to thank Matthias Unterhuber for his dedication and his professional attitude in the process of editing this special issue. Last but certainly not least, thanks to Hannes Leitgeb for supporting Matthias’ and my editorial work.",,,2306
WOS:000345006700006,"I am very grateful to Andreas Huettemann, Alexander Reutlinger, an audience at the University of Cologne, and an anonymous referee for Erkenntnis for helpful feedback on earlier versions of this paper.",,,2307
WOS:000345006700007,"Thanks are due to the audiences at the GAP8 conference, Konstanz (2012), at Matthias Frisch’s Laws of Nature workshop in Munich (2012), and at the Pittsburgh Lunchtime Seminar (2013). I am especially grateful to Marius Backmann, Jenann Ismael, Siegfried Jaag, Andreas Huttemann, Alexander Reutlinger, Charlotte Matheson, Thomas Müller, Stephen Mumford, Jesse Mulder, Emma Tobin, Matthew Tugby, Matthias Unterhuber and Brad Weslake for many valuable discussions and/or advice and comments on earlier drafts of this paper. I wish to thank Bastian Walter who helped me with editorial issues regarding the manuscript. The paper was finalized within the context of the Causation and Explanation Research Group funded by the Deutsche Forschungsgemeinschaft (DFG).",,,2308
WOS:000345006700008,"For valuable discussion I am grateful to Nancy Cartwright, Alexander Gebharter, Andreas Huttemann, Bernhard Nickel, Jeff Pelletier, Alexander Reutlinger, Jonah Schupbach, Wolfgang Spohn, Michael Strevens, Paul Thorn and Matthias Unterhuber.",,,2309
WOS:000345006700009,"Thank you to Laura Franklin-Hall, the editors, and two anonymous referees.",,,2310
WOS:000345006700010,"This work was carried out as a part of the DFG Research Unit FOR 1063 and supported by the DFG Grant SCHU1566/7-1. I thank Alexander Reutlinger, Markus Schrenk, Ludwig Fahrbach, Gerhard Schurz, Paul Thorn, Nancy Cartwright, Michael Strevens, Wolfgang Spohn, Kevin Kelly, Vera Hoffmann-Kolss, and Andreas Huttemann for their valuable comments. In addition, I greatfully acknowledge two anonymous reviewers for their substantial comments, which pushed me towards a clearer and more thorough exposition of the present ideas.",,,2311
WOS:000344605300003,"I am very grateful to the UK Arts and Humanities Research Council for funding this research, and to Kristoffer Ahlstrom-Vij, David Corfield, Hykel Hosni, Colin Howson and two anonymous referees for helpful discussion and comments.",,,2312
WOS:000344605300004,"The research for this article was supported by a Research Foundation-Flanders (FWO) postdoctoral research grant and facilitated by the European Rationality & Decisions Network, funded by the Netherlands Organisation for Scientific Research (NWO) (Grant Nr. 236-20-005). I am grateful to Richard Bradley, Igor Douven and Wlodek Rabinowicz for helpful feedback on an early version of this paper. I would also like to thank the audiences of the MCMP Colloquium in Logic, Philosophy of Science and Philosophy (LMU Munich, 2011), the KU Leuven Public Economics seminar (KU Leuven, 2011), the Bayreuth Philosophy & Economics Research Colloquium (Bayreuth, 2011) and the Rationality & Decisions Network workshop on Radical Uncertainty (LMU Munich, 2012) for their comments.",,,2313
WOS:000344605300005,Thanks to Patryk Dziurosz-Serafinowicz for helpful comments when serving as discussant of the paper for the Erasmus Institute EIPE Research Seminar. Thanks also to the anonymous referees of this journal for detailed and helpful comments. SB's research supported by the Alexander von Humboldt Foundation.,,,2314
WOS:000344605300006,"Thanks to Horacio Arlo-Costa, Jim Joyce, Isaac Levi, Teddy Seidenfeld, and Jon Williamson for their comments on early drafts, and to Clark Glymour and Choh Man Teng for a long discussion on dilation that began one sunny afternoon in a Lisbon café. This research was supported in part by award (LogICCC/0001/2007) from the European Science Foundation",,,2315
WOS:000344605300007,"I would like to thank Brian Skyrms, Jim Weatherall, and Seamus Bradley in particular for helpful discussions on this topic. I would also like to thank the two anonymous reviewers for their very helpful comments and suggestions.",,,2316
WOS:000344605300008,0,,,2317
WOS:000344605300009,"We thank two anonymous referees, Conor Dolan, Raoul Gervais, and Merel Lefevere for very useful comments.",,,2318
WOS:000344605300010,I would like to thank Richard Bradley and two referees for Erkenntnis for helpful comments on this paper.,,,2319
WOS:000344605300011,"Thanks especially to Mohan Matthen, Charles Siewert, Diana Raffman, Casey O’Callaghan, Rob Goldstone, Sebastian Watzl, Adrienne Prettyman, audiences at the University of Toronto and the Pacific APA, and some extremely helpful anonymous referees.",,,2320
WOS:000344605300002,"We would like to acknowledge the support of the Arts and Humanities Research Council (Grant Reference: AH/I003118/1), The Netherlands Organisation for Scientific Research (Grant Number 236-20-005), and the Fonds National de la Recherche Luxembourg (Grant Number 09-194). We are grateful to Hykel Hosni and Casey Helgeson for their comments on an earlier draft.",,,2321
WOS:000337366600001,0,,,2322
WOS:000337366600002,"I would like to thank two anonymous referees for their detailed, fruitful and encouraging feedback.",,,2323
WOS:000337366600003,"I would like to thank Frank Arntzenius, Gordon Belot, Jeremy Butterfield, Tom Cuda, Sam Fletcher, David Malament, Oliver Pooley, Laura Ruetsche, an anonymous referee, and audiences at the IUC in Dubrovnik, at Western University, at the PSA, and the Southern California Philosophers of Physics reading group for very helpful discussions and comments on earlier versions of this.",,,2324
WOS:000337366600004,0,,,2325
WOS:000337366600005,"Many thanks to Luc Bovens, Foad Dizadji-Bahmani, Michiru Nagatsu, Alice Obrecht, Julian Reiss, Ingrid Robeyns, David Teira, and two anonymous reviewers of European Journal for Philosophy of Science for very helpful comments on previous versions of this article. I also thank audiences at the London School of Economics (LSE) and the Erasmus Institute for Philosophy and Economics (EIPE) at Erasmus University Rotterdam for their feedback.",,,2326
WOS:000337366600006,0,,,2327
WOS:000337366600007,"For valuable discussions and insightful comments I thank Hanne Andersen, Mieke Boon, John Cantwell, Marion Godman, Sven Ove Hansson, Jesper Jerkert, Inkeri Koskinen, Jaakko Kuorikoski, Caterina Marchionni, Samuli Poyhonen, Kristina Rolin, and the audiences at Helsinki University, KTH and at the 2013 Meeting of the German Society for Philosophy of Science in Hannover. Remaining mistakes are my own. Financial support from the Swedish Research Council (Vetenskapsrådet) and the Finnish Centre of Excellence in the Philosophy of the Social Sciences (TINT) is gratefully acknowledged.",,,2328
WOS:000337367100001,0,,,2329
WOS:000337367100002,We thank two anonymous referees for their helpful comments and suggestions on an earlier version of this paper.,,,2330
WOS:000337367100003,"Parts of this paper were presented at the PhiloSTEM-5 Workshop (Fort Wayne IN, March 2013) and the Conference on Causality and Experimentation in the Sciences (Paris, July 2013). We wish to thank the participants of these events, in particular Charles Sebens and Phil Dowe, for insightful comments. We are also grateful to Sheldon Goldstein, Nicolas Gisin and two anonymous referees for helpful remarks.",,,2331
WOS:000337367100004,"This paper started life as a contributed talk delivered at the international conference “Feyerabend 2012,” wonderfully organized by Eric Oberheim and Matteo Collodel at the Humboldt-Universität, Berlin. I am grateful to the audience, and especially Karim Bschir, Ronald Giere, and Howard Sankey, for questions and suggestions, and to Ian James Kidd for his extensive written remarks on the text of my presentation. Thanks are due to Gustavo Cevolani, Roberto Festa, John Preston, and two anonymous reviewers for their comments on previous versions of the paper. Usual disclaimers apply. Financial support from PRIN grant “Probability, Confirmation and Verisimilitude” is gratefully acknowledged.",,,2332
WOS:000337367100005,"For comments and reactions I thank two helpful EJPS referees, and audiences at the British Society for the Philosophy of Science meeting (2012), at Oxford, Cologne, Lausanne and Bern Universities, and at the London School of Economics. Financial support is acknowledged from the Spanish Government research project FFI2011-29834-C03-01, and the European Commission under the Marie Curie programme grant PIEF-GA-2012-329430.",,,2333
WOS:000337367100006,"I would like to thank Otavio Bueno, Stephen French and Juha Saatsi for helpful comments on an earlier draft as well as the extremely useful comments of the referees. | This work was supported by the Arts and Humanities Research Council at the University of Leeds and by the Templeton foundation at the University of Durham",,,2334
WOS:000337367100007,"I thank Arnon Keren, Jacob Stegenga, Dan Hicks, Isaac Record, and Sandy Goldberg for helpful comments on earlier versions of this paper. I thank Ruth Weintraub, David Enoch, Moti Mizrahi, and Levi Spectre for useful discussion. I thank two anonymous reviewers for their helpful comments. This paper was presented at the Philosophy of Science (PSA) Meeting (San Diego, 2012), the Society for Philosophy of Science in Practice (SPSP) Conference (Exeter, 2011), and the Israeli Society for History and Philosophy of Science Annual Meeting (Jerusalem, 2012). I thank the audience members for useful comments and discussion. This paper was partly written when I was an Azrieli Postdoctoral Fellow at the Department of Philosophy, University of Haifa. I am grateful to the Azrieli Foundation for an award of an Azrieli Fellowship. I am also grateful to the Edmond J. Safra Center for Ethics, Tel Aviv University, and the Dan David Foundation, Tel Aviv University, for postdoctoral fellowships.",,,2335
WOS:000337367100008,"For their contributions to this essay, I would like to thank Craig Callendar, Paul Churchland, Carl Hoefer, John Dougherty, two anonymous referees’ comments, and Lianne Laguitan and Grant Wu.",,,2336
WOS:000343720400001,0,,,2337
WOS:000343720400002,"The author is grateful to Jos Uffink for several inspiring discussions on the topic. He also wishes to thank Bob Batterman, Harvey Brown, Roman Frigg, John Norton and Charlotte Werndl for helpful comments.",,,2338
WOS:000343720400003,"We thank Laura Felline, Helmut Fink, Thorben Petersen and Manfred Stockler for discussions and comments on earlier drafts. We are also grateful to two anonymous referees whose feedback much improved this paper.",,,2339
WOS:000343720400004,"I would like to thank Juliusz Doboszewski, Michal Marczyk and Tomasz Placek for commenting on the initial version of the manuscript and also the two anonymous reviewers for their helpful comments. My research has been aided by the Foundation for Polish Science “START” Fellowship and also by the Foundation for Polish Science “MISTRZ” Fellowship received by Tomasz Placek.",,,2340
WOS:000343720400005,"I would like to thank Miklos Redei and Mauricio Suarez for helpful comments and remarks on a previous version of this note. Financial support is gratefully acknowledged from the Spanish Ministry of Science and Innovation, project FFI2011-29834-C03-01, and from the Basque Country regional government’s, Department of Education, Language Policy and Culture, project IT644-13.",,,2341
WOS:000343720400006,"I would like to thank Professors Richard Dawid, Stephan Hartmann, Hannes Leitgeb, David Miller and (in particular) Jan Sprenger as well as two anonymous referees and the Associate Editor for very helpful comments on an earlier version of this paper. A Visiting Fellowship of the Munich Center for Mathematical Philosophy funded by the Alexander von Humboldt Foundation is gratefully acknowledged.",,,2342
WOS:000343720400007,0,,,2343
WOS:000343720400008,"I am very grateful to Phil Dowe for his helpful comments, proof reading of the manuscript (in its various forms) and for many informative discussions regarding causation. I am also very grateful to Gerard Milburn for clear discussions regarding the concept of quantum coherence, additional proof reading of the manuscript and for many informative discussions regarding the newest developments in quantum technology.",,,2344
WOS:000331006500001,0,,,2345
WOS:000331006500002,"I would like to thank Jochen Buttner, Lindy Divarci, and Sascha Freyberg for their careful reading of an earlier version of this paper. I would also like to thank the editors of this volume for helpful comments.",,,2346
WOS:000331006500003,"My appreciation goes to all those who offered comments on this paper, especially Domenico Bertoloni Meli, Jordi Cat, Carl Pearson, and Tawrin Baker. I am also most grateful to those at the Leiden University Library and the Scaliger Institute, particularly Eric Schliesser, for the generous help and inspiration. I wish to thank Maarten Van Dyck and Albrecht Heeffer. It was a great pleasure to have the opportunity to present a version of this paper at the PASR conference in Ghent. I am also very grateful for the helpful comments of an anonymous referee",,,2347
WOS:000331006500004,"I am grateful to Daniel Garber, Eberhard Knobloch, Michel Serfati, Juhana Lemetti and the anonymous referees of this journal for their suggestions or their comments on earlier drafts of this work. This paper was written during a postdoctoral research stay at Princeton University. I would like to thank the Social Sciences and Humanities Research Council of Canada for providing the financial support that made this stay possible.",,,2348
WOS:000331006500005,"The generous support of the Research Foundation Flanders (FWO) made the present article possible. I wholeheartedly thank Marco Matteoli, who inspired this additional result of my doctoral thesis during a stay in Florence during spring 2009. I am also much obliged to my promoter Wim Verbaal, who made many useful suggestions, with patience and confidence. And, although he passed away silently more than a year ago, I still owe many thanks to my former promoter Fernand Hallyn, whose academic personality will not be forgotten.",,,2349
WOS:000331006500006,"An earlier version of this paper was presented at the conference From Practice to Results in Logic and Mathematics. An International Conference on the Role of Practices in Shaping Results in Logic and Mathematics, June 21–23, 2010, Salle Internationale, MSH Lorraine, Nancy, France and benefited from valuable comments from Jens Hoyrup, Karine Chemla and Jeff Oaks.",,,2350
WOS:000338117700001,"This work has been carried out within the framework of project funded by FGCSIC, Obra Social La Caixa and CSIC, and the project PIE 201050E087.",,,2351
WOS:000338117700004,0,,,2352
WOS:000338117700005,0,,,2353
WOS:000338117700007,"The authors would like to thank Mohammadmahdi Soleimanipour and Mohsen Feyzbakhsh for their support and ideas in revising our article. We also thank the reviewers of Foundations of Science for their useful comments and suggestions that help us to clarify and enrich our ideas better. We also appreciate Professor Aerts, Editor-in-Chief of the journal for his efforts in the process of submission to acceptance of the article.",,,2354
WOS:000338117700008,0,,,2355
WOS:000338117700003,"We would like to thank Manuel Liz, Margarita Vazquez, Steven Hales, David Sosa, and two anonymous referees for useful comments and suggestions to previous drafts of this paper. It was developed under the framework provided by the Research Project “Points of View and Temporal Structures” (FII2011-24549), funded by the Spanish Government.",,,2356
WOS:000339720800002,The authors would like to thank the two anonymous referees for their valuable comments on the subject of this paper.,,,2357
WOS:000339720800004,0,,,2358
WOS:000339720800007,0,,,2359
WOS:000339720800001,The authors are greatly indebted with Prof. Jaroslaw Pykacz and Dr. Sandro Sozzo for reading the manuscript and providing useful remarks and suggestions.,,,2360
WOS:000343721500001,0,,,2361
WOS:000343721500002,0,,,2362
WOS:000343721500003,"I appreciate the excellent insights of three anonymous reviewers whose suggestions have led to an improved paper. All remaining mistakes I claim as my own.
This paper is based on a presentation titled “Existing and Emerging Methods for Integrating Theories Within and Between Disciplines” at the 56th annual meeting of the International Society for Systems Sciences (ISSS). July 15–22, 2012, at San Jose State University, California.",,,2363
WOS:000343721500007,0,,,2364
WOS:000343721500008,"The authors would like to thank Peter Verdee for sharing his expertise on computability and oracles, and Yon Fishman as well as two anonymous reviewers for their insightful comments on an earlier version of the manuscript. The research of the second author was supported by the Research Foundation Flanders (FWO).",,,2365
WOS:000343721500004,0,,,2366
WOS:000334597100001,An earlier version of the paper was presented at the Max Planck Institute for the History of Science. I thank Vincenzo De Risi and his research team for their feedback on that occasion. I also wish to thank my colleague and friend Giovanni Gellera for stylistic suggestions. I am grateful to two anonymous referees for their constructive criticisms.,,,2367
WOS:000334597100002,"I would like to thank Edouard Machery and two anonymous reviewers for their helpful comments on earlier drafts of this paper. I also thank Dongwook Jung, Wonki Her, and the members of Philosophy of Science Working Group, Seoul National University for useful discussion.",,,2368
WOS:000334597100003,This research has been co-financed by the European Union (European Social Fund – ESF) and Greek national funds through the Operational Program “Education and Lifelong Learning” of the National Strategic Reference Framework (NSRF) – Research Funding Program: THALIS-UOA-Aspects and Prospects of Realism in the Philosophy of Science and Mathematics (APRePoSMa). I thank three anonymous reviewers too for their comments that were very helpful for improvement of this paper.,,,2369
WOS:000334597100004,I thank the Deutsche Forschungsgemeinschaft for funding my research project on reduction in physics and two anonymous referees for their valuable comments on the manuscript.,,,2370
WOS:000334597100005,0,,,2371
WOS:000334597100006,For valuable comments I am indebted to two anonymous referees.,,,2372
WOS:000334597100007,0,,,2373
WOS:000334597100008,0,,,2374
WOS:000334597100009,"This study was included in Experiment Month, which was sponsored by the American Philosophical Association (APA) and coordinated by Yale University’s Cognitive Science. The results were presented at the APA Eastern Division 108th Annual Meeting in Washington DC, December 27–30, 2011. We would like to thank Joshua Knobe, Mark Phelan, and Darrell Rowbottom for helpful discussion. We are also grateful to two anonymous reviewers for the Journal for General Philosophy of Science for helpful comments on an earlier draft.",,,2375
WOS:000334597100010,"I would like to thank Jos Uffink, John Norton, Dennis Dieks, Samuel Fletcher, Eric Schliesser, Maarten Van Dyck, Bernhard Pos, Marcel Boumans, Thomas Muller (Lausanne University), Alexander Reutlinger and Sylvia Wenmackers for useful comments and discussion. I would also like to thank two anonymous referees for their helpful comments. This work was supported by the Research Foundation Flanders (FWO).",,,2376
WOS:000334597100011,"M. Mouchart gratefully acknowledges financial support from the “Inter-University Attraction Pole”, phase VI (number P6/03) of the Belgian Government (Belgian Science Policy). F. Russo has been FWO Marie Curie Pegasus Fellow at the Vrije Universiteit Brussel during the academic year 2012–2013. We thank Robert Franck for his remarks on an earlier version of this paper and for commenting in greater detail his approach. Comments and suggestions from two anonymous referees helped us improve our arguments.",,,2377
WOS:000345640100002,"For stimulating discussions, I am grateful to the audiences of my talks at the GWP- and GAP8-conferences (held in Hannover and Konstanz, respectively). Special thanks go to the two (‘speculative’) reviewers of this journal for helpful comments.",,,2378
WOS:000345640100003,0,,,2379
WOS:000345640100004,I would like to thank two anonymous referees of JGPS for useful comments and suggestions.,,,2380
WOS:000345640100005,0,,,2381
WOS:000345640100006,"In March 2013, the interdisciplinarity of philosophy of science was the subject of a workshop and a panel discussion at the first conference of the German Society for Philosophy of Science (Gesellschaft für Wissenschaftsphilosophie) in Hanover, Germany (conference theme: “How much philosophy is there in the philosophy of science?”). The focus was on the situation of early-career researchers. The workshop and panel discussion was funded by the Andrea von Braun Foundation (see http://www.wissphil.de/index.php?site=gwp2013&subsite=panel, last access August 6, 2013). We would like to thank the Andrea von Braun Foundation for its great support, as well as the workshop participants and the panelists, who are listed on the above-mentioned page, for the stimulating discussions. We would also like to thank the colleagues and students who organized the conference in Hanover and made it possible that the event could take place in such a fruitful atmosphere. This paper is the theoretical counterpart of a paper that addresses the practical implications for early-career researchers and research-related institutions with respect to funding and job profiles in interdisciplinary contexts in philosophy of science (Kaiser, Kronfeldner, Meunier (forthc.), “Problems and Prospects of Interdisciplinary Philosophy of Science: A Report from the Workbench,” Briefe zur Interdisziplinarität).",,,2382
WOS:000345640100007,"We thank Wolfgang Spohn, Maria Kronfeldner, Ludwig Fahrbach, and Ioannis Votsis for their valuable comments. We are grateful to the GAP, the GWP and the editors of the Journal for General Philosophy of Science (Ulrich Krohs, Helmut Pulte, and Gregor Schiemann) for their support. We are indebted to all participants of the survey. Without their support this paper would not have been possible. Finally, we gratefully acknowledge Sarah Ipakchi, Annika Schuster, Tina Druckenmüller, Philipp Grimm, Anna Kim, and Sebastian Maass for their help with processing the survey results.",,,2383
WOS:000345640800001,I would like to thank two anonymous reviewers of JGPS for helpful comments that improved this piece.,,,2384
WOS:000345640800002,"I am grateful to my research assistant Jan Walker for invaluable discussions of Turing’s essay and the concepts of Turing machines and computable sequences. The present essay has profited substantially from his criticisms and energetic dissent from the argument of previous versions. I have also profited from the suggestions for improvement of an anonymous journal referee. A much-condensed summary of the main argument was presented under the title, ‘Cantor’s Diagonalization and Turing’s Cardinality Paradox’, at the conference on Computing, Philosophy and the Question of Bio-Machine Hybrids (AISB/IACAP World Congress), Birmingham, UK, 2-6 July 2012, and published in three page summary in the congress proceedings, under the conference title, in Computing, philosophy and the question of bio-machine hybrids, edited by J.M. Bishop and Y.J. Erden (London: Society for the Study of Artificial Intelligence and Simulation of Behaviour, 2012) (http://www.aisb.org.uk; ISBN 978-1-908187-11-6), 21–23.",,,2385
WOS:000345640800003,0,,,2386
WOS:000345640800004,I am grateful to anonymous referees for comments which have enabled me to introduce a number of improvements into this paper.,,,2387
WOS:000345640800005,"My special thanks go to Carl Hoefer for his help, and patience, which led to major improvements in the substance and form of this paper. I am also grateful to Toffa Evans and Laura Felline who read, commented and suggested useful changes on different drafts of the paper. Needless to say, the remaining errors are only mine.",,,2388
WOS:000345640800006,"An earlier version of this paper was presented at the annual meeting of the British Society for Philosophy of Science held at Canterbury in July 2004. I thank members of the audience for questions, comments and encouragement, especially Jeremy Butterfield, Lee Smolin and James Ladyman. I am also grateful to the referees for this journal for their helpful comments.",,,2389
WOS:000345640800007,"This work is part of the project “An Ontological and Epistemological Analysis of the Higgs-mechanism,” funded by the Deutsche Forschungsgemeinschaft (DFG, contract HA 2990/4-1), within the research collaboration “The Epistemology of the Large Hadron Collider (LHC)” at the University of Wuppertal: http://www.lhc-epistemologie.uni-wuppertal.de.",,,2390
WOS:000345640800008,"I would like to thank Jeremy Butterfield, Friedrich Harbach, Koray Karaca and two anonymous referees for many helpful comments on earlier versions of this paper. Work on the topics discussed here was carried out in the project “An ontological and epistemological analysis of the Higgs-mechanism” at Wuppertal University, funded by Deutsche Forschungsgemeinschaft (DFG, contract HA 2990/4-1).",,,2391
WOS:000345640800009,I am particularly grateful to Nazim Bouatta and Jeremy Butterfield for detailed comments and helpful discussions on the present essay. I would like to thank Koray Karaca and two anonymous referees for their helpful advice and comments.,,,2392
WOS:000345640800010,"This paper has emerged from the research project “The epistemic dynamics of model development at the LHC: an empirical investigation” that was supported by the Deutsche Forschungsgemeinschaft (DFG) and is part of the Wuppertal-based research group “Epistemology of the LHC”; see http://www.lhc-epistemologie.uni-wuppertal.de/. Members of the research project were Arianna Borrelli, Robert Harlander, Peter Mättig, Friedrich Steinle, and myself. This paper initially goes back to a presentation at the 2010 “Models and Simulations 4” meeting in Toronto. Earlier drafts were written together with Arianna Borrelli in 2011 and 2012 and submitted to this journal in May 2012; they were drawing upon her continued empirical work in analyzing the model landscape in the Higgs sector and her historical expertise. A shortened and co-authored version has since appeared as Borrelli and Stöltzner (2013). In early 2014, the philosophical part of this paper has been revised so as to reflect the fact that, in July 2012, CERN announced the discovery of a SM Higgs boson and the ongoing debates in our broader research group. I am most grateful to all of them for comments on presentations and earlier drafts of this paper. Borrelli (2012) provides a diachronic analysis of one of the model classes mentioned in the present paper in a somewhat different philosophical perspective.",,,2393
WOS:000345640800014,0,,,2394
